X=minimax-improve
O=alphabeta-improve
depth=8
current_player=O
turns=11
max_turns=13
total_nodes=58954
total_time=2.242484
Turn 01 | Player X | Minimax-Improve | move=(4, 4) | score=20 | depth=8 | nodes=2551 | time=0.062911s
Turn 02 | Player O | Alpha-Beta-Improve | move=(3, 4) | score=-100000 | depth=8 | nodes=3055 | time=0.110217s
Turn 03 | Player X | Minimax-Improve | move=(3, 3) | score=100000 | depth=8 | nodes=14603 | time=0.510740s
Turn 04 | Player O | Alpha-Beta-Improve | move=(5, 5) | score=-100000 | depth=8 | nodes=526 | time=0.021431s
Turn 05 | Player X | Minimax-Improve | move=(2, 2) | score=100000 | depth=8 | nodes=12422 | time=0.441934s
Turn 06 | Player O | Alpha-Beta-Improve | move=(1, 1) | score=-100000 | depth=8 | nodes=296 | time=0.011374s
Turn 07 | Player X | Minimax-Improve | move=(4, 3) | score=100000 | depth=8 | nodes=13364 | time=0.580184s
Turn 08 | Player O | Alpha-Beta-Improve | move=(2, 3) | score=-100000 | depth=8 | nodes=184 | time=0.010510s
Turn 09 | Player X | Minimax-Improve | move=(4, 5) | score=100000 | depth=8 | nodes=6368 | time=0.253970s
Turn 10 | Player O | Alpha-Beta-Improve | move=(4, 6) | score=-100000 | depth=8 | nodes=102 | time=0.005410s
Turn 11 | Player X | Minimax-Improve | move=(4, 2) | score=100000 | depth=8 | nodes=5483 | time=0.233804s
