X=minimax-improve
O=alphabeta-improve
depth=8
current_player=O
turns=13
max_turns=19
total_nodes=62529
total_time=2.213030
Turn 01 | Player X | Minimax-Improve | move=(5, 5) | score=-190 | depth=8 | nodes=2410 | time=0.098289s
Turn 02 | Player O | Alpha-Beta-Improve | move=(4, 4) | score=-930 | depth=8 | nodes=1981 | time=0.094394s
Turn 03 | Player X | Minimax-Improve | move=(5, 3) | score=100000 | depth=8 | nodes=14549 | time=0.594711s
Turn 04 | Player O | Alpha-Beta-Improve | move=(5, 4) | score=-100000 | depth=8 | nodes=481 | time=0.012913s
Turn 05 | Player X | Minimax-Improve | move=(6, 4) | score=100000 | depth=8 | nodes=10160 | time=0.267194s
Turn 06 | Player O | Alpha-Beta-Improve | move=(4, 6) | score=-100000 | depth=8 | nodes=359 | time=0.013910s
Turn 07 | Player X | Minimax-Improve | move=(4, 5) | score=100000 | depth=8 | nodes=7598 | time=0.210622s
Turn 08 | Player O | Alpha-Beta-Improve | move=(6, 5) | score=-100000 | depth=8 | nodes=405 | time=0.013269s
Turn 09 | Player X | Minimax-Improve | move=(4, 3) | score=100000 | depth=8 | nodes=8216 | time=0.257008s
Turn 10 | Player O | Alpha-Beta-Improve | move=(6, 3) | score=-100000 | depth=8 | nodes=383 | time=0.013833s
Turn 11 | Player X | Minimax-Improve | move=(7, 5) | score=100000 | depth=8 | nodes=9659 | time=0.311106s
Turn 12 | Player O | Alpha-Beta-Improve | move=(8, 6) | score=-100000 | depth=8 | nodes=95 | time=0.004325s
Turn 13 | Player X | Minimax-Improve | move=(4, 2) | score=100000 | depth=8 | nodes=6233 | time=0.321456s
