X=alphabeta-improve
O=minimax-improve
depth=8
current_player=O
turns=11
max_turns=12
total_nodes=39440
total_time=0.875119
Turn 01 | Player X | Minimax-Improve | move=(4, 4) | score=20 | depth=8 | nodes=2551 | time=0.046007s
Turn 02 | Player O | Alpha-Beta-Improve | move=(3, 4) | score=-100000 | depth=8 | nodes=3055 | time=0.073167s
Turn 03 | Player X | Minimax-Improve | move=(3, 3) | score=100000 | depth=8 | nodes=14603 | time=0.310655s
Turn 04 | Player O | Alpha-Beta-Improve | move=(5, 5) | score=-100000 | depth=8 | nodes=526 | time=0.013864s
Turn 05 | Player X | Alpha-Beta-Improve | move=(2, 2) | score=100000 | depth=8 | nodes=671 | time=0.020088s
Turn 06 | Player O | Minimax-Improve | move=(1, 1) | score=-100000 | depth=8 | nodes=7499 | time=0.156545s
Turn 07 | Player X | Alpha-Beta-Improve | move=(4, 3) | score=100000 | depth=8 | nodes=573 | time=0.019536s
Turn 08 | Player O | Minimax-Improve | move=(2, 3) | score=-100000 | depth=8 | nodes=6428 | time=0.139095s
Turn 09 | Player X | Alpha-Beta-Improve | move=(4, 5) | score=100000 | depth=8 | nodes=268 | time=0.011134s
Turn 10 | Player O | Minimax-Improve | move=(4, 6) | score=-100000 | depth=8 | nodes=2951 | time=0.072552s
Turn 11 | Player X | Alpha-Beta-Improve | move=(4, 2) | score=100000 | depth=8 | nodes=315 | time=0.012475s
