X=alphabeta
O=minimax
depth=4
current_player=O
turns=13
max_turns=15
total_nodes=1384269
total_time=12.931727
Turn 01 | Player X | Minimax | move=(4, 4) | score=-100 | depth=4 | nodes=1297 | time=0.016289s
Turn 02 | Player O | Alpha-Beta | move=(5, 5) | score=-970 | depth=4 | nodes=815 | time=0.014709s
Turn 03 | Player X | Minimax | move=(5, 3) | score=-310 | depth=4 | nodes=44555 | time=0.437814s
Turn 04 | Player O | Minimax | move=(3, 5) | score=-1050 | depth=4 | nodes=80606 | time=0.775153s
Turn 05 | Player X | Alpha-Beta | move=(6, 2) | score=-380 | depth=4 | nodes=1927 | time=0.031219s
Turn 06 | Player O | Minimax | move=(7, 1) | score=-1120 | depth=4 | nodes=235955 | time=2.042158s
Turn 07 | Player X | Alpha-Beta | move=(4, 5) | score=-1050 | depth=4 | nodes=2180 | time=0.034116s
Turn 08 | Player O | Minimax | move=(4, 3) | score=-2250 | depth=4 | nodes=326134 | time=2.907245s
Turn 09 | Player X | Alpha-Beta | move=(3, 4) | score=90 | depth=4 | nodes=2564 | time=0.054523s
Turn 10 | Player O | Minimax | move=(5, 4) | score=-100000 | depth=4 | nodes=332352 | time=2.972124s
Turn 11 | Player X | Alpha-Beta | move=(5, 6) | score=100001 | depth=4 | nodes=2078 | time=0.039760s
Turn 12 | Player O | Minimax | move=(6, 7) | score=-100002 | depth=4 | nodes=352135 | time=3.498764s
Turn 13 | Player X | Alpha-Beta | move=(2, 3) | score=100003 | depth=4 | nodes=1671 | time=0.107853s
